,filename,width,height,class,xmin,ymin,xmax,ymax
0,0001.jpg,512,512,Car,120,280,512,512
1,0001.jpg,512,512,Bus,39,191,190,347
2,0002.jpg,512,512,Car,57,249,512,512
3,0002.jpg,512,512,Bus,16,157,165,318
4,0003.jpg,512,512,Bus,289,206,344,285
5,0003.jpg,512,512,Bus,266,225,278,249
6,0004.jpg,512,512,Car,282,250,294,267
7,0004.jpg,512,512,Car,262,248,283,275
8,0004.jpg,512,512,Bus,269,241,289,268
9,0005.jpg,512,512,speed_sign,171,232,187,257
10,0006.jpg,512,512,speed_sign,115,219,137,258
11,0007.jpg,512,512,speed_sign,93,188,118,219
12,0008.jpg,512,512,Bus,247,245,276,286
13,0009.jpg,512,512,Bus,238,209,265,247
14,0010.jpg,512,512,Bus,258,236,292,286
15,0011.jpg,512,512,Bus,308,205,401,325
16,0011.jpg,512,512,Car,291,246,321,285
17,0011.jpg,512,512,Traffic_sign,188,231,209,251
18,0012.jpg,512,512,Traffic_sign,3,164,56,236
19,0012.jpg,512,512,Car,294,257,321,286
20,0013.jpg,512,512,Car,280,217,308,255
21,0013.jpg,512,512,Bus,257,201,280,237
22,0013.jpg,512,512,Car,240,217,257,238
23,0014.jpg,512,512,Person,225,237,235,293
24,0014.jpg,512,512,Person,226,260,242,324
25,0014.jpg,512,512,Person,239,255,252,319
26,0015.jpg,512,512,Person,172,258,185,325
27,0015.jpg,512,512,Person,178,266,193,338
28,0015.jpg,512,512,Person,190,254,205,338
29,0015.jpg,512,512,Person,206,253,230,366
30,0016.jpg,512,512,Person,13,257,56,512
31,0016.jpg,512,512,Person,45,299,99,512
32,0016.jpg,512,512,Person,92,278,125,480
33,0016.jpg,512,512,Person,125,256,152,399
34,0017.jpg,512,512,Person,229,246,252,339
35,0017.jpg,512,512,Person,280,281,298,373
36,0017.jpg,512,512,Person,297,261,309,313
37,0017.jpg,512,512,Person,286,257,295,311
38,0017.jpg,512,512,Person,273,254,287,330
39,0017.jpg,512,512,Person,306,262,322,302
40,0018.jpg,512,512,Person,235,254,250,337
41,0018.jpg,512,512,Person,242,257,262,383
42,0018.jpg,512,512,Person,255,248,272,365
43,0018.jpg,512,512,Person,272,253,290,328
44,0018.jpg,512,512,Person,282,253,295,327
45,0018.jpg,512,512,Person,295,259,307,324
46,0019.jpg,512,512,Person,217,275,254,406
47,0019.jpg,512,512,Person,233,240,257,353
48,0019.jpg,512,512,Person,253,247,274,348
49,0019.jpg,512,512,Person,276,253,291,324
50,0019.jpg,512,512,Person,290,259,298,301
51,0019.jpg,512,512,Person,290,270,303,333
52,0019.jpg,512,512,Person,147,262,238,448
53,0020.jpg,512,512,Person,92,238,151,505
54,0020.jpg,512,512,Person,253,244,275,364
55,0020.jpg,512,512,Person,233,241,263,388
56,0020.jpg,512,512,Person,284,252,298,296
57,0020.jpg,512,512,Person,286,268,301,336
58,0021.jpg,512,512,Person,74,223,151,488
59,0021.jpg,512,512,Person,212,232,248,403
60,0021.jpg,512,512,Person,245,237,273,383
61,0021.jpg,512,512,Person,277,274,293,356
62,0021.jpg,512,512,Person,281,255,295,306
63,0022.jpg,512,512,Person,210,258,242,448
64,0022.jpg,512,512,Person,241,264,266,389
65,0023.jpg,512,512,Person,107,255,190,512
66,0023.jpg,512,512,Person,231,272,275,450
67,0024.jpg,512,512,Person,194,283,257,512
68,0024.jpg,512,512,Person,227,268,255,384
69,0025.jpg,512,512,Person,195,251,211,319
70,0025.jpg,512,512,Person,212,249,225,311
71,0025.jpg,512,512,Person,3,203,52,490
72,0025.jpg,512,512,Person,42,255,105,512
73,0026.jpg,512,512,Bus,270,230,317,284
74,0026.jpg,512,512,Bus,245,246,266,278
75,0027.jpg,512,512,Traffic_sign,194,227,208,253
76,0027.jpg,512,512,Car,110,272,274,512
77,0027.jpg,512,512,Car,258,268,351,390
78,0027.jpg,512,512,Person,89,266,125,435
79,0028.jpg,512,512,Traffic_sign,171,229,193,266
80,0028.jpg,512,512,Person,31,299,85,438
81,0028.jpg,512,512,Car,128,291,272,512
82,0028.jpg,512,512,Car,265,284,339,395
83,0029.jpg,512,512,Traffic_sign,78,163,116,236
84,0029.jpg,512,512,Car,205,287,302,447
85,0029.jpg,512,512,Car,276,281,328,375
86,0029.jpg,512,512,Car,338,298,512,512
87,0030.jpg,512,512,Bus,303,143,417,295
88,0030.jpg,512,512,Bus,244,208,273,251
89,0031.jpg,512,512,Bus,254,217,302,292
90,0031.jpg,512,512,Car,232,254,256,282
91,0032.jpg,512,512,Bus,339,81,512,406
92,0032.jpg,512,512,Car,271,258,307,298
93,0032.jpg,512,512,Bus,248,247,273,281
94,0033.jpg,512,512,Traffic_sign,374,175,403,232
95,0034.jpg,512,512,Traffic_sign,443,165,477,237
96,0035.jpg,512,512,speed_sign,1,148,24,225
97,0036.jpg,512,512,Traffic_light,335,188,343,221
98,0037.jpg,512,512,Traffic_sign,5,84,66,189
99,0038.jpg,512,512,Bus,239,191,297,263
100,0038.jpg,512,512,Car,227,222,244,237
101,0038.jpg,512,512,Car,209,223,225,241
102,0039.jpg,512,512,Bus,376,73,512,431
103,0039.jpg,512,512,Car,271,258,290,281
104,0039.jpg,512,512,Car,262,255,276,277
105,0040.jpg,512,512,Car,254,225,267,245
106,0040.jpg,512,512,Car,266,227,282,250
107,0040.jpg,512,512,Bus,355,11,512,486
108,0041.jpg,512,512,Car,267,251,290,283
109,0041.jpg,512,512,Car,292,251,318,287
110,0042.jpg,512,512,Person,435,258,479,421
111,0042.jpg,512,512,Person,311,257,337,305
112,0043.jpg,512,512,Person,416,224,463,399
113,0043.jpg,512,512,Person,315,221,329,277
114,0043.jpg,512,512,Person,303,219,316,272
115,0044.jpg,512,512,Bus,280,174,332,254
116,0044.jpg,512,512,Bus,258,194,272,220
117,0045.jpg,512,512,Car,257,216,279,248
118,0045.jpg,512,512,Car,281,223,312,258
119,0046.jpg,512,512,Person,44,268,71,399
120,0047.jpg,512,512,Person,11,230,38,369
121,0048.jpg,512,512,Car,304,250,355,314
122,0048.jpg,512,512,Car,362,255,438,333
